Date, Close/Last, Volume, Open, High, Low,Symbol
11/22/2019,$158.75 ,14853060,$158.60 ,$160.58 ,$154.56 ,ROKU
11/21/2019,$155.91 ,21586340,$159.70 ,$163.33 ,$154.13 ,ROKU
11/20/2019,$158.93 ,26617630,$152.21 ,$160.99 ,$151.17 ,ROKU
11/19/2019,$153.91 ,31464770,$153.45 ,$158 ,$147.51 ,ROKU
11/18/2019,$160.12 ,27647310,$157.30 ,$165.10 ,$153.56 ,ROKU
11/15/2019,$157.30 ,26600100,$151.70 ,$158.23 ,$149.80 ,ROKU
11/14/2019,$148.70 ,26222960,$142 ,$150.04 ,$141.19 ,ROKU
11/13/2019,$142.37 ,20654070,$134.48 ,$142.45 ,$133.06 ,ROKU
11/12/2019,$135.35 ,24287750,$130.08 ,$135.80 ,$130.08 ,ROKU
11/11/2019,$129.21 ,20702970,$120.80 ,$129.55 ,$120.28 ,ROKU
11/8/2019,$121.94 ,19221270,$119.20 ,$123.56 ,$118.70 ,ROKU
11/7/2019,$118.46 ,52683910,$118.75 ,$128.38 ,$116.26 ,ROKU
11/6/2019,$141.05 ,21711920,$138.65 ,$143.95 ,$136.81 ,ROKU
11/5/2019,$139.57 ,11789380,$140.47 ,$142.65 ,$136.71 ,ROKU
11/4/2019,$140.51 ,20088780,$147.15 ,$148.85 ,$137.45 ,ROKU
11/1/2019,$146.50 ,10946600,$148.44 ,$148.70 ,$143.41 ,ROKU
10/31/2019,$147.20 ,13249350,$149.43 ,$151.30 ,$143.36 ,ROKU
10/30/2019,$149.43 ,10916470,$147.74 ,$151.48 ,$146.84 ,ROKU
10/29/2019,$147.24 ,16095060,$146.10 ,$149.51 ,$143.68 ,ROKU
10/28/2019,$146.88 ,24073200,$137 ,$148.17 ,$136.40 ,ROKU
10/25/2019,$133.74 ,11485720,$129.15 ,$134.10 ,$127.30 ,ROKU
10/24/2019,$131.22 ,10597880,$128.33 ,$131.88 ,$126.41 ,ROKU
10/23/2019,$128.76 ,10702320,$129 ,$131.87 ,$127.02 ,ROKU
10/22/2019,$129.06 ,17122370,$132.81 ,$136.70 ,$127.02 ,ROKU
10/21/2019,$133.03 ,16408270,$128.75 ,$135.35 ,$128.21 ,ROKU
10/18/2019,$129.94 ,32463530,$137.39 ,$139.07 ,$124.79 ,ROKU
10/17/2019,$139.07 ,20090070,$131.94 ,$139.59 ,$130.14 ,ROKU
10/16/2019,$132.50 ,22426090,$132.83 ,$134.28 ,$127.81 ,ROKU
10/15/2019,$132.82 ,26623530,$123.18 ,$132.95 ,$122.53 ,ROKU
10/14/2019,$119.12 ,14498590,$120.58 ,$122.10 ,$117.80 ,ROKU
